price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps,
4476999.99,204.0,44992,32767,5416151329,204,1,False,2019-05-04 03:25:45.000,90,1028858195912,10000002,30000144,1,
4490999.99,200.0,44992,32767,5425057442,200,1,False,2019-05-16 15:54:16.000,90,60003760,10000002,30000142,0,
4492599.96,819.0,44992,32767,5418186243,819,1,False,2019-05-08 02:15:30.000,90,1028858195912,10000002,30000144,1,
4499996.0,14440.0,44992,32767,5424184501,20000,1,False,2019-05-16 09:54:26.000,90,1030524644061,10000002,30000155,4,
4499997.95,10000.0,44992,32767,5415770257,10000,1,False,2019-05-15 22:30:39.000,90,1028858195912,10000002,30000144,1,
4499998.0,20000.0,44992,32767,5415663477,20000,1,False,2019-05-15 22:30:32.000,90,1028858195912,10000002,30000144,1,
4500000.0,20000.0,44992,32767,5419551969,20000,1,False,2019-05-08 19:31:38.000,90,1028858195912,10000002,30000144,1,
4510000.0,142.0,44992,32767,5422200713,142,1,False,2019-05-12 09:18:45.000,30,60003034,10000002,30000157,3,
4510809.99,937.0,44992,32767,5425056163,1100,1,False,2019-05-16 15:52:05.000,90,60003760,10000002,30000142,0,
4510810.0,1403.0,44992,32767,5424955112,4050,1,False,2019-05-16 14:02:22.000,90,60003760,10000002,30000142,0,
4510819.99,200.0,44992,32767,5424272679,200,1,False,2019-05-16 13:56:56.000,90,60003760,10000002,30000142,0,
4510839.01,1000.0,44992,32767,5416001519,1000,1,False,2019-05-16 13:37:37.000,90,60003760,10000002,30000142,0,
4510849.99,37.0,44992,32767,5424892188,150,1,False,2019-05-16 10:09:29.000,7,60003760,10000002,30000142,0,
4510870.1,835.0,44992,32767,5424831047,1250,1,False,2019-05-16 07:15:00.000,90,60003760,10000002,30000142,0,
4510878.99,10381.0,44992,32767,5424667378,15400,1,False,2019-05-15 23:12:51.000,90,60003760,10000002,30000142,0,
4510879.0,1896.0,44992,32767,5424539039,6500,1,False,2019-05-15 19:20:18.000,90,60003760,10000002,30000142,0,
4511000.0,118.0,44992,32767,5424313312,118,1,False,2019-05-15 13:08:22.000,90,60003760,10000002,30000142,0,
4513000.0,1800.0,44992,32767,5424290659,2300,1,False,2019-05-15 12:24:41.000,90,60003760,10000002,30000142,0,
4513999.99,500.0,44992,32767,5423985962,500,1,False,2019-05-14 22:27:26.000,90,60003760,10000002,30000142,0,
4514349.99,2430.0,44992,32767,5421855059,4781,1,False,2019-05-14 22:01:25.000,90,60003760,10000002,30000142,0,
4519000.0,500.0,44992,32767,5424781786,500,1,False,2019-05-16 04:42:18.000,7,60003760,10000002,30000142,0,
4520099.99,540.0,44992,32767,5415994164,2000,1,False,2019-05-06 18:20:11.000,90,1028858195912,10000002,30000144,1,
4521980.0,3138.0,44992,32767,5421901051,6060,1,False,2019-05-15 21:45:40.000,90,60003760,10000002,30000142,0,
4521999.0,1000.0,44992,32767,5422447108,1000,1,False,2019-05-12 15:19:00.000,90,60003760,10000002,30000142,0,
4522248.0,300.0,44992,32767,5421786573,300,1,False,2019-05-12 10:06:40.000,90,60003760,10000002,30000142,0,
